pose_id,pose
0,bai108_0_stand
1,bai108_1_pray
2,bai108_1_pray
3,bai108_1_pray
4,bai108_1_pray
5,bai108_1_pray
6,bai108_1_pray
7,bai108_1_pray
8,bai108_1_pray
9,bai108_1_pray
10,bai108_1_pray
11,bai108_1_pray
12,bai108_1_pray
13,bai108_1_pray
14,bai108_1_pray
15,bai108_1_pray
16,bai108_1_pray
17,bai108_1_pray
18,bai108_1_pray
19,bai108_1_pray
20,bai108_0_stand
21,bai108_0_stand
22,bai108_0_stand
23,bai108_0_stand
24,bai108_0_stand
25,bai108_0_stand
26,bai108_0_stand
27,bai108_0_stand
28,bai108_0_stand
29,bai108_0_stand
30,bai108_0_stand
31,bai108_0_stand
32,bai108_0_stand
33,bai108_0_stand
34,bai108_0_stand
35,bai108_0_stand
36,bai108_0_stand
37,bai108_0_stand
38,bai108_0_stand
39,bai108_0_stand
40,bai108_0_stand
41,bai108_0_stand
42,bai108_0_stand
43,bai108_2_prostrate
44,bai108_2_prostrate
45,bai108_2_prostrate
46,bai108_2_prostrate
47,bai108_2_prostrate
48,bai108_2_prostrate
49,bai108_2_prostrate
50,bai108_2_prostrate
51,bai108_2_prostrate
52,bai108_2_prostrate
53,bai108_2_prostrate
54,bai108_2_prostrate
55,bai108_2_prostrate
56,bai108_2_prostrate
57,bai108_2_prostrate
58,bai108_2_prostrate
59,bai108_2_prostrate
60,bai108_2_prostrate
61,bai108_2_prostrate
62,bai108_2_prostrate
63,bai108_2_prostrate
64,bai108_2_prostrate
65,bai108_2_prostrate
66,bai108_2_prostrate
67,bai108_2_prostrate
68,bai108_2_prostrate
69,bai108_2_prostrate
70,bai108_2_prostrate
71,bai108_2_prostrate
72,bai108_2_prostrate
73,bai108_2_prostrate
74,bai108_2_prostrate
75,bai108_2_prostrate
76,bai108_2_prostrate
77,bai108_2_prostrate
78,bai108_2_prostrate
79,bai108_2_prostrate
80,bai108_2_prostrate
81,bai108_2_prostrate
82,bai108_2_prostrate
83,bai108_2_prostrate
84,bai108_2_prostrate
85,bai108_2_prostrate
86,bai108_2_prostrate
87,bai108_2_prostrate
88,bai108_2_prostrate
89,bai108_2_prostrate
90,bai108_2_prostrate
91,bai108_2_prostrate
92,bai108_2_prostrate
93,bai108_2_prostrate
94,bai108_2_prostrate
95,bai108_2_prostrate
96,bai108_2_prostrate
97,bai108_2_prostrate
98,bai108_2_prostrate
99,bai108_2_prostrate
100,bai108_2_prostrate
101,bai108_2_prostrate
102,bai108_2_prostrate
103,bai108_2_prostrate
104,bai108_2_prostrate
105,bai108_2_prostrate
106,bai108_2_prostrate
107,bai108_2_prostrate
108,bai108_2_prostrate
109,bai108_2_prostrate
110,bai108_2_prostrate
111,bai108_2_prostrate
112,bai108_2_prostrate
113,bai108_2_prostrate
114,bai108_2_prostrate
115,bai108_2_prostrate
116,bai108_2_prostrate
117,bai108_2_prostrate
118,bai108_2_prostrate
119,bai108_2_prostrate
120,bai108_2_prostrate
121,bai108_2_prostrate
122,bai108_2_prostrate
123,bai108_2_prostrate
124,bai108_2_prostrate
125,bai108_2_prostrate
126,bai108_2_prostrate
127,bai108_2_prostrate
128,bai108_2_prostrate
129,bai108_2_prostrate
130,bai108_2_prostrate
131,bai108_2_prostrate
132,bai108_2_prostrate
133,bai108_2_prostrate
134,bai108_2_prostrate
135,bai108_2_prostrate
136,bai108_2_prostrate
137,bai108_2_prostrate
138,bai108_2_prostrate
139,bai108_2_prostrate
140,bai108_2_prostrate
141,bai108_2_prostrate
142,bai108_2_prostrate
143,bai108_2_prostrate
144,bai108_2_prostrate
145,bai108_2_prostrate
146,bai108_2_prostrate
147,bai108_2_prostrate
148,bai108_2_prostrate
149,bai108_2_prostrate
150,bai108_2_prostrate
151,bai108_2_prostrate
152,bai108_2_prostrate
153,bai108_2_prostrate
154,bai108_2_prostrate
155,bai108_2_prostrate
156,bai108_2_prostrate
157,bai108_2_prostrate
158,bai108_2_prostrate
159,bai108_2_prostrate
160,bai108_2_prostrate
161,bai108_2_prostrate
162,bai108_2_prostrate
163,bai108_2_prostrate
164,bai108_2_prostrate
165,bai108_2_prostrate
166,bai108_2_prostrate
167,bai108_2_prostrate
168,bai108_2_prostrate
169,bai108_2_prostrate
170,bai108_2_prostrate
171,bai108_2_prostrate
172,bai108_2_prostrate
173,bai108_2_prostrate
174,bai108_2_prostrate
175,bai108_2_prostrate
176,bai108_2_prostrate
177,bai108_2_prostrate
178,bai108_2_prostrate
179,bai108_2_prostrate
180,bai108_2_prostrate
181,bai108_2_prostrate
182,bai108_0_stand
183,bai108_0_stand
184,bai108_0_stand
185,bai108_0_stand
186,bai108_0_stand
187,bai108_0_stand
188,bai108_0_stand
189,bai108_0_stand
190,bai108_0_stand
191,bai108_0_stand
192,bai108_0_stand
193,bai108_0_stand
194,bai108_0_stand
195,bai108_0_stand
196,bai108_0_stand
197,bai108_0_stand
198,bai108_0_stand
